term,class,prob
一定,2,0.0007808179067573283501508
一定,5,0.0006234171050068185865323
結婚,1,0.0001108770373655615886074
結婚,3,0.0001799812819466775496227
結婚,2,0.0012037609395842143681504
結婚,5,0.0011689070718877848497480
1,1,0.0004435081494622463544296
1,3,0.0018118115715965539200272
1,2,0.0006832156684126622792769
1,5,0.0005844535359438924248740
親友,1,0.0001108770373655615886074
親友,3,0.0000119987521297785034211
親友,2,0.0000650681588964440246617
親友,5,0.0002337814143775569970547
血液循環,1,0.0001108770373655615886074
血液循環,3,0.0001319862734275635291620
血液循環,2,0.0000325340794482220123309
血液循環,5,0.0000389635690629261616583
秀,1,0.0001108770373655615886074
秀,3,0.0000119987521297785034211
秀,2,0.0003578748739304421153107
秀,5,0.0000389635690629261616583
演出,1,0.0001108770373655615886074
演出,3,0.0001799812819466775496227
演出,2,0.0011386927806877704654615
演出,5,0.0000389635690629261616583
含有,1,0.0001108770373655615886074
含有,3,0.0003599625638933550992454
含有,2,0.0000325340794482220123309
含有,5,0.0000389635690629261616583
白羊座,1,0.0001108770373655615886074
白羊座,3,0.0004679513330613616181770
白羊座,2,0.0000325340794482220123309
白羊座,5,0.0000389635690629261616583
處,1,0.0001108770373655615886074
處,3,0.0001679825298168990445075
處,2,0.0000325340794482220123309
處,5,0.0001948178453146308082913
偷走,1,0.0004435081494622463544296
偷走,3,0.0000119987521297785034211
偷走,2,0.0000325340794482220123309
偷走,5,0.0000389635690629261616583
這部,1,0.0001108770373655615886074
這部,3,0.0000359962563893355085693
這部,2,0.0004554771122751081861846
這部,5,0.0000779271381258523233165
財運,1,0.0001108770373655615886074
財運,3,0.0002039787862062345598531
財運,2,0.0000325340794482220123309
財運,5,0.0000389635690629261616583
降低,1,0.0001108770373655615886074
降低,3,0.0002879700511146840685543
降低,2,0.0000325340794482220123309
降低,5,0.0000389635690629261616583
寬,1,0.0001108770373655615886074
寬,3,0.0002159775383360130649683
寬,2,0.0000650681588964440246617
寬,5,0.0000389635690629261616583
通常,1,0.0001108770373655615886074
通常,3,0.0004079575724124691197062
通常,2,0.0000325340794482220123309
通常,5,0.0000779271381258523233165
運動,1,0.0001108770373655615886074
運動,3,0.0005279450937102541166479
運動,2,0.0002602726355857760986469
